Velozes e Furiosos 10,2023,5.9,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
"Não Se Preocupe, Querida",2022,6.3,"While her husband leaves home everyday to work in a top secret facility, a young 1950s housewife begins to question her life when she notices strange behavior from the other wives in the neighborhood."
Top Gun: Maverick,2022,8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
Duna,2021,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Rastro de Maldade,2015,7.1,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers."
Babilônia,2022,7.2,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
Run Rabbit Run,2023,5.0,"Sarah Snook plays a fertility doctor who believes firmly in life and death, but after noticing the strange behavior of her young daughter, she must challenge her own values and confront a ghost from her past."
Indiana Jones e a Última Cruzada,1989,8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
Indiana Jones e o Reino da Caveira de Cristal,2008,6.2,"In 1957, Indiana Jones becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls."
The Tutor,2023,4.9,"Follows a tutor who, after being assigned an unexpected task at a mansion, finds himself struggling with the obsessions of his student, who threatens to expose his darkest secrets."
Beau Tem Medo,2023,6.9,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home."
O Pior Vizinho do Mundo,2022,7.5,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around."
Nefarious,2023,6.4,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own."
Indiana Jones e o Templo da Perdição,1984,7.5,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace."
"Ruby Marinho, Monstro Adolescente",2023,5.8,"A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined."
Fale Comigo,2022,7.4,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces."
Resgate,2020,6.8,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord."
Past Lives,2023,8.4,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
Um Sonho de Liberdade,1994,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
Orgulho & Preconceito,2005,7.8,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
Homem-Aranha: No Aranhaverso,2018,8.4,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
A Origem,2010,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
O Poderoso Chefão,1972,9.2,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
Sisu - Uma História de Determinação,2022,6.9,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him."
Air: A História Por Trás do Logo,2023,7.5,"Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan."
Batman: O Cavaleiro das Trevas,2008,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
O Menu,2022,7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
O Lobo de Wall Street,2013,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Tudo em Todo o Lugar ao Mesmo Tempo,2022,7.8,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
Batman,2022,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Piscina Infinita,2023,6.1,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors."
O Exorcista do Papa,2023,6.1,"Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret."
Midsommar: O Mal Não Espera a Noite,2019,7.1,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
Trem-Bala,2022,7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
Aniquilação,2018,6.8,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
Guardiões da Galáxia,2014,8.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
Era Uma Vez Em... Hollywood,2019,7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Os Cavaleiros do Zodíaco - Saint Seiya: O Começo,2023,4.4,"When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac."
Missão de Sobrevivência,2023,6.0,A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.
O Poder e a Lei,2011,7.3,A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.
God Is a Bullet,2023,5.5,"Taking matters into his own hands, Detective Bob Hightower tries to infiltrate an evil cult to save his kidnapped daughter and avenge the murder of his wife."
Renfield - Dando o Sangue Pelo Chefe,2023,6.4,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them."
Love,2015,6.1,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
Tenet,2020,7.3,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
Gato de Botas 2: O Último Pedido,2022,7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish."
